X (km),Y (km),Z (km),Time Step,Revolution
6800.686605599999,0.0,0.0,0,0
6787.104780194424,20.27690257783847,429.9706807765725,1,0
6746.414201571984,40.472816698010156,858.224005455765,2,0
6678.779324953981,60.50708897108449,1283.0497230449873,3,0
6584.473451788016,80.299734569955,1702.7517593814948,4,0
6463.877548348887,99.77176758611303,2115.655222320254,5,0
6317.478600705362,118.84552670528979,2520.113307669256,6,0
6145.867514885683,137.4449946906201,2914.51407381364,7,0
5949.736573467533,155.49611020222963,3297.287053834077,8,0
5729.876462115454,172.92707053221042,3666.9096749864157,9,0
5487.172881772177,189.66862389276972,4021.9134566569164,10,0
5222.6027642630925,205.654349962272,4360.889959326705,11,0
4937.23011098019,220.82092746820962,4682.496458654957,12,0
4632.201476060476,235.10838766705027,4985.46132050609,13,0
4308.741117053047,248.46035266756718,5268.589054583767,14,0
3968.145837470324,260.8242576357853,5530.765026275411,15,0
3611.7795468360314,272.1515560151522,5770.95980833541,16,0
3241.067564871282,282.3979069940571,5988.233156124266,17,0
2857.4906972990652,291.5233445534512,6181.737592254719,18,0
2462.5791113967007,299.49242752916257,6350.7215886554595,19,0
2057.906039888334,306.27437022568006,6494.532336229717,20,0
1645.081342049526,311.8431532198608,6612.618094442209,21,0
1225.7449509998787,316.17761409341614,6704.53011529686,22,0
801.5602360955027,319.2615179314105,6769.924138253854,23,0
374.2073091101276,321.0836075197196,6808.561454664174,24,0
-54.623697477652634,321.6376332668296,6820.309542259811,25,0
-483.23935228118603,320.9223629640144,6805.142272117829,26,0
-909.9496197094132,318.9415715823594,6763.139692306779,27,0
-1333.0745011438116,315.7040113849472,6694.487394117118,28,0
-1750.9505969976874,311.2233627075114,6599.475468367505,29,0
-2161.9375649946437,305.51816583079045,6478.497060761545,30,0
-2564.4244510030244,298.61173443255825,6332.046536642532,31,0
-2956.8358698228776,290.5320511668085,6160.717266755404,32,0
-3337.638014428609,281.3116459718536,5965.199046776204,33,0
-3705.344473313142,270.98745775822687,5746.275164411141,34,0
-4058.521836746094,259.60068017140304,5504.819128802968,35,0
-4395.795073940571,247.19659216363158,5241.791077815381,36,0
-4715.852664309951,233.8243741438649,4958.233879501676,37,0
-5017.4514671810775,219.53691050509315,4655.268944706981,38,0
-5299.421315504907,204.390579354687,4334.091768310951,39,0
-5560.66932026587,188.44503029586878,3995.967217095241,40,0
-5800.183873430048,171.76295112756316,3642.2245826257877,41,0
-6017.038338388251,154.40982434588975,3274.252417879426,42,0
-6210.394417938604,136.45367434384676,2893.4931766261357,43,0
-6379.505190914469,117.96480621656491,2501.4376748078153,44,0
-6523.717809595463,99.01553708826023,2099.6193933400846,45,0
-6642.475851043212,79.67992088394531,1689.608641910511,46,0
-6735.321316480344,60.03346747434431,1273.0066034609158,47,0
-6801.896273782635,40.15285712661337,851.4392791295254,48,0
-6841.944139083523,20.115651196521302,426.55135349347535,49,0
-6855.3105944,3.95474395580652e-14,8.386014305920835e-13,50,0
